t,value
1540602099,0.5925925925925926
1540602113,0.5818181818181818
1540602121,0.9766266582438408
1540602136,0.9998234714131329
1540602140,0.9998234714131329
1540602142,0.9998234714131329
1540602143,0.9998234714131329
1540602145,0.9998234714131329
t,value
1540602283,0.5235294117647059
1540602286,0.6105769230769231
1540602289,0.6105769230769231
1540602292,0.6105769230769231
1540602295,0.6105769230769231
1540602298,0.6105769230769231
1540602301,0.6105769230769231
1540602306,0.6105769230769231
1540602312,0.6105769230769231
1540602316,0.7542372881355932
1540602317,0.7542372881355932
1540602319,0.7542372881355932
1540602320,0.7542372881355932
1540602322,0.7542372881355932
1540602325,0.7542372881355932
1540602328,0.7542372881355932
1540602332,0.7542372881355932
1540602334,0.7542372881355932
1540602337,0.7542372881355932
1540602341,0.7542372881355932
1540602343,0.7542372881355932
1540602346,0.7814070351758794
1540602349,0.7814070351758794
1540602352,0.7814070351758794
1540602355,0.7814070351758794
1540602358,0.7814070351758794
1540602361,0.8387681159420289
1540602364,0.8387681159420289
1540602367,0.8387681159420289
1540602370,0.8387681159420289
1540602373,0.8387681159420289
1540602377,0.8387681159420289
1540602379,0.8387681159420289
1540602382,0.8387681159420289
1540602385,0.8387681159420289
1540602388,0.8387681159420289
1540602392,0.8689248895434463
1540602394,0.8689248895434463
1540602397,0.8689248895434463
1540602400,0.8689248895434463
1540602403,0.8689248895434463
1540602406,0.8772413793103448
1540602410,0.8772413793103448
1540602412,0.8772413793103448
1540602416,0.8772413793103448
1540602418,0.8772413793103448
1540602421,0.8772413793103448
1540602424,0.8772413793103448
1540602427,0.8772413793103448
1540602430,0.8772413793103448
1540602433,0.8772413793103448
1540602436,0.8772413793103448
1540602439,0.8772413793103448
1540602442,0.8772413793103448
1540602445,0.8772413793103448
1540602448,0.8772413793103448
1540602451,0.8772413793103448
1540602454,0.8772413793103448
1540602457,0.8772413793103448
1540602460,0.8772413793103448
1540602463,0.8772413793103448
1540602466,0.8772413793103448
1540602469,0.8845654993514915
1540602472,0.8845654993514915
1540602475,0.8845654993514915
1540602478,0.8845654993514915
1540602481,0.8845654993514915
1540602485,0.8845654993514915
1540602487,0.8845654993514915
1540602491,0.8845654993514915
1540602493,0.8845654993514915
1540602496,0.8845654993514915
1540602499,0.8845654993514915
1540602502,0.8845654993514915
1540602505,0.8845654993514915
1540602508,0.8845654993514915
1540602511,0.8845654993514915
